Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
02/01/06,1.65,1.62,1.65,1.61,"2,89M","0,61%"
03/01/06,1.71,1.65,1.72,1.64,"7,62M","3,64%"
04/01/06,1.75,1.71,1.78,1.71,"9,86M","2,34%"
05/01/06,1.72,1.73,1.77,1.72,"8,99M","-1,71%"
06/01/06,1.76,1.74,1.77,1.73,"8,84M","2,33%"
09/01/06,1.75,1.76,1.78,1.72,"3,39M","-0,57%"
10/01/06,1.75,1.75,1.76,1.7,"5,69M","0,00%"
11/01/06,1.78,1.75,1.78,1.75,"7,17M","1,71%"
12/01/06,1.77,1.77,1.81,1.76,"6,26M","-0,56%"
13/01/06,1.78,1.77,1.78,1.73,"5,50M","0,56%"
16/01/06,1.79,1.78,1.8,1.77,"5,06M","0,56%"
17/01/06,1.76,1.77,1.78,1.74,"11,30M","-1,68%"
18/01/06,1.76,1.74,1.76,1.73,"10,31M","0,00%"
19/01/06,1.84,1.78,1.87,1.77,"8,97M","4,55%"
20/01/06,1.86,1.82,1.86,1.82,"5,87M","1,09%"
23/01/06,1.85,1.85,1.87,1.83,"2,98M","-0,54%"
24/01/06,1.92,1.86,1.92,1.85,"8,65M","3,78%"
26/01/06,1.98,1.92,2,1.91,"10,39M","3,13%"
27/01/06,1.95,1.98,2.02,1.93,"9,83M","-1,52%"
30/01/06,1.96,1.97,1.97,1.9,"8,05M","0,51%"
31/01/06,2,1.96,2.02,1.92,"6,48M","2,04%"
01/02/06,2.03,2,2.04,1.95,"7,18M","1,50%"
02/02/06,1.96,2.02,2.04,1.96,"5,97M","-3,45%"
03/02/06,1.95,1.99,2,1.88,"5,98M","-0,51%"
06/02/06,2,1.97,2,1.94,"6,45M","2,56%"
07/02/06,1.93,1.98,1.98,1.93,"2,68M","-3,50%"
08/02/06,1.93,1.94,1.95,1.91,"5,41M","0,00%"
09/02/06,2,1.95,2,1.91,"9,57M","3,63%"
10/02/06,2.06,2.04,2.06,2.03,"8,24M","3,00%"
13/02/06,2.06,2.03,2.09,2.02,"7,61M","0,00%"
14/02/06,2.05,2.06,2.08,2.03,"6,22M","-0,49%"
15/02/06,2.06,2.05,2.07,2.02,"6,01M","0,49%"
16/02/06,2.11,2.07,2.12,2.06,"24,59M","2,43%"
17/02/06,2.09,2.13,2.14,2.09,"8,55M","-0,95%"
20/02/06,2.13,2.08,2.13,2.05,"6,23M","1,91%"
21/02/06,2.04,2.14,2.14,2.04,"13,75M","-4,23%"
22/02/06,2.03,2.04,2.06,2.03,"12,50M","-0,49%"
23/02/06,2.02,2.05,2.05,2,"6,23M","-0,49%"
24/02/06,2.05,2.02,2.07,2.02,"5,55M","1,49%"
