Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
13/11/17,19.63,19.92,19.92,19.17,"2,41M","-2,05%"
14/11/17,19.2,19.75,19.75,18.52,"3,74M","-2,19%"
16/11/17,19.49,19.14,19.67,19.08,"2,81M","1,51%"
17/11/17,19.87,19.67,19.93,19.45,"1,77M","1,95%"
21/11/17,20.07,19.86,20.4,19.66,"2,76M","1,01%"
22/11/17,19.29,20.04,20.07,19.26,"3,06M","-3,89%"
23/11/17,19.02,19.35,19.44,19,"3,54M","-1,40%"
24/11/17,18.86,18.92,19.11,18.59,"2,03M","-0,84%"
27/11/17,18.64,18.7,18.85,18.43,"1,61M","-1,17%"
28/11/17,18.06,18.84,18.95,18.05,"3,95M","-3,11%"
29/11/17,17.69,18.04,18.28,17.31,"7,71M","-2,05%"
30/11/17,17.24,17.82,17.82,16.83,"8,62M","-2,54%"
01/12/17,17.46,17.03,17.47,16.76,"4,30M","1,28%"
04/12/17,17.22,17.51,17.64,16.94,"3,47M","-1,37%"
05/12/17,17.54,17.37,17.78,17.17,"3,83M","1,86%"
06/12/17,18.6,17.57,18.74,17.57,"5,21M","6,04%"
07/12/17,18.42,18.56,18.98,18.13,"3,48M","-0,97%"
08/12/17,18.49,18.51,18.51,17.94,"2,28M","0,38%"
11/12/17,18.19,18.49,18.49,18.04,"2,21M","-1,62%"
12/12/17,18.16,18.19,18.27,17.64,"3,60M","-0,16%"
13/12/17,17.82,18.16,18.38,17.71,"3,99M","-1,87%"
14/12/17,17.9,17.81,18.13,17.73,"3,04M","0,45%"
15/12/17,17.99,17.87,18.22,17.71,"3,21M","0,50%"
18/12/17,18.04,17.91,18.04,17.79,"1,42M","0,28%"
19/12/17,17.7,18.06,18.06,17.54,"2,45M","-1,88%"
20/12/17,18.21,17.91,18.26,17.72,"1,73M","2,88%"
21/12/17,18.67,18.26,18.67,18.01,"1,42M","2,53%"
22/12/17,18.35,18.68,18.68,18.13,"1,68M","-1,71%"
26/12/17,18.19,18.35,18.35,18.04,"889,70K","-0,87%"
27/12/17,18.23,18.23,18.23,17.87,"2,12M","0,22%"
28/12/17,18.4,18.13,18.4,18.01,"2,25M","0,93%"
02/01/18,18.5,18.33,18.81,18.19,"2,12M","0,54%"
03/01/18,18.36,18.41,18.71,18.19,"2,65M","-0,76%"
04/01/18,18.41,18.43,18.57,18.12,"3,25M","0,27%"
05/01/18,18.36,18.3,18.6,18.26,"3,06M","-0,27%"
08/01/18,18.8,18.51,19.13,18.48,"4,20M","2,40%"
09/01/18,19,19.14,19.2,18.8,"4,16M","1,06%"
